Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;13;0;32;;220;Kasnevitz;26,11;706;362;344;27
60;;13;0;32;;230;Kluis;21,4;334;168;166;16
60;;13;0;32;;240;Lancken-Granitz;13,78;371;179;192;27
60;;13;0;32;;250;Lietzow;8,4;346;165;181;41
60;;13;0;32;;260;Lohme;13,7;677;338;339;49
60;;13;0;32;;270;Middelhagen;9,3;490;225;265;53
60;;13;0;32;;280;Neuenkirchen;22,86;541;270;271;24
60;;13;0;32;;290;Parchtitz;25,05;742;390;352;30
60;;13;0;32;;300;Patzig;8,05;422;221;201;52
60;;13;0;32;;310;Poseritz;40,17; 1 375;689;686;34
60;;13;0;32;;320;Putbus, Stadt;40,34; 4 482; 2 106; 2 376;111
60;;13;0;32;;330;Putgarten;12,68;332;167;165;26
60;;13;0;32;;340;Ralswiek;16,52;529;263;266;32
60;;13;0;32;;350;Rambin;31,43;981;491;490;31
60;;13;0;32;;360;Rappin;29,07;487;246;241;17
60;;13;0;32;;370;Sagard;27,93; 3 751; 1 842; 1 909;134
60;;13;0;32;;380;Samtens;32,44; 2 512; 1 217; 1 295;77
60;;13;0;32;;390;Saßnitz, Stadt;45,94; 13 032; 6 405; 6 627;284
60;;13;0;32;;400;Schaprode;19,65;663;333;330;34
60;;13;0;32;;410;Sehlen;20,58;672;333;339;33
60;;13;0;32;;420;Sellin, Ostseebad;14,33; 2 852; 1 326; 1 526;199
60;;13;0;32;;430;Thesenvitz;9,65;295;135;160;31
60;;13;0;32;;440;Thießow;2,31;435;209;226;188
60;;13;0;32;;450;Trent;35,39; 1 072;521;551;30
60;;13;0;32;;460;Ummanz (Insel);41,83;774;401;373;19
60;;13;0;32;;470;Wiek;25,51; 1 463;713;750;57
60;;13;0;32;;480;Zirkow;25,61;677;339;338;26
60;;13;0;32;;490;Zudar;21,84;562;271;291;26
40;;13;0;33;;;Schwerin;;;;;
60;;13;0;33;;10;Alt Meteln;16,48;712;355;357;43
60;;13;0;33;;20;Banzkow;33,97; 1 593;772;821;47
60;;13;0;33;;30;Barnin;16,95;359;171;188;21
60;;13;0;33;;40;Böken;6,57;215;117;98;33
60;;13;0;33;;50;Brüsewitz;29,87; 1 472;734;738;49
60;;13;0;33;;60;Bülow;23,84;383;193;190;16
60;;13;0;33;;70;Cambs;20,82;595;293;302;29
60;;13;0;33;;80;Cramonshagen;10,12;380;188;192;38
60;;13;0;33;;90;Crivitz, Stadt;31,98; 4 528; 2 175; 2 353;142
60;;13;0;33;;100;Dalberg-Wendelstorf;9,49;399;207;192;42
60;;13;0;33;;110;Demen;46,78; 1 923;970;953;41
60;;13;0;33;;130;Dümmer;21,43;618;321;297;29
60;;13;0;33;;140;Gädebehn;26,42;255;131;124;10
60;;13;0;33;;150;Gneven;10,28;135;68;67;13
60;;13;0;33;;160;Godern;4,54;168;87;81;37
60;;13;0;33;;170;Göhren;20,01;262;134;128;13
60;;13;0;33;;190;Goldenstädt;24,01;621;318;303;26
60;;13;0;33;;200;Grambow;19,8;501;255;246;25
60;;13;0;33;;230;Holthusen;20,57;607;307;300;30
60;;13;0;33;;260;Klein Rogahn;10,99;561;282;279;51
60;;13;0;33;;270;Klein Trebbow;25,4;535;262;273;21
60;;13;0;33;;310;Langen Brütz;15,45;341;167;174;22
60;;13;0;33;;320;Leezen;26,25; 1 350;674;676;51
60;;13;0;33;;340;Lübesse;14,21;415;210;205;29
60;;13;0;33;;350;Lübstorf;43,63; 1 148;564;584;26
60;;13;0;33;;390;Pampow;10,9; 1 010;495;515;93
60;;13;0;33;;410;Pingelshagen;2,07;154;68;86;74
60;;13;0;33;;420;Pinnow;14,17;450;229;221;32
60;;13;0;33;;430;Plate;22,14; 1 882;941;941;85
60;;13;0;33;;450;Raben Steinfeld;9,6;679;334;345;71
60;;13;0;33;;470;Rastow;43,07; 1 485;717;768;34
60;;13;0;33;;480;Retgendorf;12,02;304;161;143;25
60;;13;0;33;;490;Rubow;22,76;662;338;324;29
60;;13;0;33;;520;Ruthenbeck;9,65;253;129;124;26
60;;13;0;33;;530;Schossin;11,41;234;121;113;21
60;;13;0;33;;540;Seehof;4,41;383;188;195;87
60;;13;0;33;;550;Stralendorf;12,02;798;407;391;66
60;;13;0;33;;560;Sülstorf;18,63;722;353;369;39
60;;13;0;33;;580;Sukow;21,34;926;462;464;43
60;;13;0;33;;590;Tramm;21,9;660;321;339;30
60;;13;0;33;;600;Uelitz;15,03;393;189;204;26
60;;13;0;33;;630;Warsow;14,89;516;264;252;35
60;;13;0;33;;640;Wessin;17,07;513;252;261;30
60;;13;0;33;;650;Wittenförden;12,22;988;484;504;81
60;;13;0;33;;670;Zapel, Dorf;11,57;366;190;176;32
60;;13;0;33;;680;Zickhusen;12,45;338;164;174;27
60;;13;0;33;;700;Zülow;7,13;147;73;74;21
40;;13;0;34;;;Sternberg;;;;;
60;;13;0;34;;10;Bibow;14,28;210;107;103;15
60;;13;0;34;;20;Blankenberg;21,37;495;265;230;23
60;;13;0;34;;30;Borkow;28,12;582;290;292;21
60;;13;0;34;;40;Brüel, Stadt;27,3; 3 399; 1 646; 1 753;125
60;;13;0;34;;50;Dabel;24,64; 2 014;991; 1 023;82
60;;13;0;34;;70;Groß Görnow;15,22;222;121;101;15
60;;13;0;34;;80;Groß Labenz;16,27;430;207;223;26
60;;13;0;34;;100;Hohen Pritz;23,77;438;211;227;18
60;;13;0;34;;120;Jesendorf;21,19;502;251;251;24
60;;13;0;34;;140;Kobrow;37,59;656;338;318;17
60;;13;0;34;;150;Kuhlen;26,19;644;324;320;25
60;;13;0;34;;170;Langen Jarchow;10,67;227;109;118;21
60;;13;0;34;;200;Mustin;26,08;496;238;258;19
60;;13;0;34;;220;Pastin;17,63;325;160;165;18
60;;13;0;34;;230;Sternberg, Stadt;34,69; 5 142; 2 480; 2 662;148
60;;13;0;34;;250;Ventschow;22,38; 1 098;553;545;49
60;;13;0;34;;260;Warin, Stadt;27,95; 3 691; 1 747; 1 944;132
60;;13;0;34;;270;Weitendorf b. Brüel;41,92;466;229;237;11
60;;13;0;34;;280;Wendorf;23,4;490;252;238;21
60;;13;0;34;;290;Witzin;18,72;582;291;291;31
60;;13;0;34;;300;Zahrensdorf;14,02;396;204;192;28
40;;13;0;35;;;Stralsund;;;;;
60;;13;0;35;;10;Altenhagen;18,46;296;142;154;16
60;;13;0;35;;20;Altenpleen;20,05;943;470;473;47
60;;13;0;35;;30;Buchholz;24,66;331;177;154;13
60;;13;0;35;;40;Drechow;15,51;351;169;182;23
60;;13;0;35;;50;Franzburg, Stadt;15,17; 2 294; 1 063; 1 231;151
60;;13;0;35;;60;Gremersdorf;25,33;659;327;332;26
60;;13;0;35;;70;Groß Kordshagen;16,09;468;245;223;29
60;;13;0;35;;80;Groß Mohrdorf;41,55;694;341;353;17
60;;13;0;35;;100;Hugoldsdorf;14,16;238;122;116;17
60;;13;0;35;;110;Jakobsdorf;17,67;547;270;277;31
60;;13;0;35;;120;Karnin;12,42;268;133;135;22
60;;13;0;35;;130;Klausdorf;11,16;443;218;225;40
60;;13;0;35;;140;Kramerhof;17,93;699;359;340;39
60;;13;0;35;;150;Kummerow;11,55;445;219;226;39
60;;13;0;35;;160;Lüssow;18,87;532;261;271;28
60;;13;0;35;;170;Millienhagen;13,62;271;140;131;20
60;;13;0;35;;180;Neu Bartelshagen;17,35;450;214;236;26
60;;13;0;35;;190;Niepars;35,89; 1 753;871;882;49
60;;13;0;35;;200;Oebelitz;11,87;195;96;99;16
60;;13;0;35;;210;Pantelitz;14,41;680;350;330;47
60;;13;0;35;;220;Preetz;14,14;493;253;240;35
60;;13;0;35;;230;Prohn;16,07; 1 123;580;543;70
60;;13;0;35;;240;Richtenberg, Stadt;15,62; 1 884;896;988;121
60;;13;0;35;;250;Schuenhagen;22,07;96;51;45;4
60;;13;0;35;;260;Siemersdorf;18,78;587;280;307;31
60;;13;0;35;;270;Steinhagen;33,53; 1 236;610;626;37
60;;13;0;35;;280;Tribsees, Stadt;35,97; 3 194; 1 530; 1 664;89
60;;13;0;35;;290;Velgast;30,89; 2 238; 1 097; 1 141;72
60;;13;0;35;;300;Weitenhagen;16,96;309;156;153;18
60;;13;0;35;;310;Wendorf;15,68;373;194;179;24
40;;13;0;36;;;Strasburg;;;;;
60;;13;0;36;;30;Ballin;19,42;524;256;268;27
60;;13;0;36;;50;Blumenhagen;9,28;478;228;250;52
60;;13;0;36;;60;Bredenfelde;10,98;289;145;144;26
60;;13;0;36;;70;Fahrenholz;9,03;204;100;104;23
60;;13;0;36;;80;Gehren;10,95;187;103;84;17
60;;13;0;36;;90;Göhren;11,78;238;113;125;20
60;;13;0;36;;110;Grauenhagen;9,14;187;87;100;20
60;;13;0;36;;120;Groß-Daberkow;9,9;131;62;69;13
60;;13;0;36;;130;Groß-Luckow;8,84;363;190;173;41
60;;13;0;36;;140;Groß-Miltzow;36,38; 1 391;663;728;38
60;;13;0;36;;160;Güterberg;8,15;201;103;98;25
60;;13;0;36;;170;Helpt;11,17;291;135;156;26
60;;13;0;36;;190;Hinrichshagen;18,91;332;154;178;18
60;;13;0;36;;210;Jagow;28,93;622;306;316;22
60;;13;0;36;;220;Klein Luckow;19,4;315;162;153;16
60;;13;0;36;;230;Kreckow;12,14;220;112;108;18
60;;13;0;36;;240;Kublank;13,48;317;153;164;24
60;;13;0;36;;250;Lemmersdorf;24,24;689;349;340;28
60;;13;0;36;;260;Leppin;22,39;591;278;313;26
60;;13;0;36;;280;Lübbenow;8,9;405;207;198;46
60;;13;0;36;;300;Mildenitz;20,31;505;248;257;25
60;;13;0;36;;310;Milow;10,73;228;108;120;21
60;;13;0;36;;320;Neetzka;13,35;298;151;147;22
60;;13;0;36;;330;Neuensund;11,98;180;93;87;15
60;;13;0;36;;340;Neu-Käbelich;6,21;122;58;64;20
60;;13;0;36;;350;Pasenow;10,35;215;108;107;21
60;;13;0;36;;360;Petersdorf;7,79;175;91;84;22
60;;13;0;36;;380;Rehberg;14,9;263;124;139;18
60;;13;0;36;;400;Schönbeck;24,33;568;275;293;23
60;;13;0;36;;410;Schönhausen;18,74;392;190;202;21
60;;13;0;36;;420;Strasburg, Stadt;63,9; 7 561; 3 681; 3 880;118
60;;13;0;36;;430;Trebenow;32,04;824;407;417;26
60;;13;0;36;;450;Voigtsdorf;7,62;180;92;88;24
60;;13;0;36;;460;Wilsickow;11,13;254;119;135;23
60;;13;0;36;;470;Wismar;11,71;253;120;133;22
60;;13;0;36;;480;Woldegk, Stadt;37,97; 3 681; 1 794; 1 887;97
60;;13;0;36;;490;Wolfshagen;14,22;336;158;178;24
40;;13;0;37;;;Teterow;;;;;
60;;13;0;37;;10;Altkalen;19,56;473;230;243;24
60;;13;0;37;;20;Alt Sührkow;25,32;572;288;284;23
60;;13;0;37;;30;Behren-Lübchin;31,18;626;310;316;20
60;;13;0;37;;40;Boddin;23,61;556;287;269;24
60;;13;0;37;;50;Bristow;16,04;237;115;122;15
60;;13;0;37;;60;Bülow;14,85;353;173;180;24
60;;13;0;37;;70;Dalkendorf;15,3;380;192;188;25
60;;13;0;37;;90;Finkenthal;20,24;368;186;182;18
60;;13;0;37;;100;Gnoien, Stadt;41,08; 4 177; 1 994; 2 183;102
60;;13;0;37;;130;Groß-Nieköhr;11,73;198;102;96;17
60;;13;0;37;;140;Groß Roge;24,33;802;388;414;33
60;;13;0;37;;150;Groß-Wokern;21,9;996;483;513;45
60;;13;0;37;;160;Groß-Wüstenfelde;19,58;705;347;358;36
60;;13;0;37;;170;Hohen Demzin;24,1;556;249;307;23
60;;13;0;37;;180;Jördenstorf;27,61; 1 489;747;742;54
60;;13;0;37;;200;Kleverhof;20,4;368;180;188;18
60;;13;0;37;;210;Lelkendorf;29,75;695;327;368;23
60;;13;0;37;;220;Levitzow;7,6;211;111;100;28
60;;13;0;37;;230;Lühburg;17,29;301;155;146;17
60;;13;0;37;;240;Matgendorf;7,03;343;184;159;49
60;;13;0;37;;250;Neu-Heinde;20,86;376;182;194;18
60;;13;0;37;;260;Poggelow;17,42;411;201;210;24
60;;13;0;37;;270;Prebberede;21,98;535;269;266;24
60;;13;0;37;;290;Remlin;12,48;334;163;171;27
60;;13;0;37;;300;Dahmen;36,37;740;370;370;20
60;;13;0;37;;310;Sukow-Marienhof;12,63;310;141;169;25
60;;13;0;37;;320;Teterow, Stadt;47,16; 11 440; 5 529; 5 911;243
60;;13;0;37;;330;Thürkow;14,61;509;260;249;35
60;;13;0;37;;340;Walkendorf;27,62;623;308;315;23
60;;13;0;37;;350;Warnkenhagen;19,47;424;217;207;22
60;;13;0;37;;360;Wasdow;26,05;509;252;257;20
40;;13;0;38;;;Ueckermünde;;;;;
60;;13;0;38;;10;Ahlbeck;24,28;772;370;402;32
60;;13;0;38;;20;Altwarp;12,83;891;450;441;69
60;;13;0;38;;30;Altwigshagen;17,57;489;246;243;28
60;;13;0;38;;40;Eggesin, Stadt;86,12; 8 442; 4 225; 4 217;98
60;;13;0;38;;50;Ferdinandshof;47,2; 3 985; 1 960; 2 025;84
60;;13;0;38;;60;Grambin;3,59;476;236;240;133
60;;13;0;38;;70;Hammer a. Uecker;21,46;654;332;322;30
60;;13;0;38;;80;Heinrichsruh;16,96;286;143;143;17
60;;13;0;38;;90;Heinrichswalde;14,3;639;303;336;45
60;;13;0;38;;100;Hintersee;31,41;404;202;202;13
60;;13;0;38;;110;Hoppenwalde;1,86;539;270;269;290
60;;13;0;38;;120;Leopoldshagen;19,56;896;432;464;46
60;;13;0;38;;130;Liepgarten;31,95;793;394;399;25
60;;13;0;38;;140;Luckow;11,48;602;294;308;52
60;;13;0;38;;150;Lübs;30,43;528;260;268;17
60;;13;0;38;;170;Meiersberg;10,11;468;232;236;46
60;;13;0;38;;180;Mönkebude;24,74;728;333;395;29
60;;13;0;38;;190;Neuendorf A;13,9;165;83;82;12
60;;13;0;38;;200;Rieth;29,14;167;77;90;6
60;;13;0;38;;210;Rothemühl;30,49;354;162;192;12
60;;13;0;38;;220;Torgelow Holländerei;5,8;272;132;140;47
60;;13;0;38;;230;Torgelow, Stadt;49,46; 13 463; 6 591; 6 872;272
60;;13;0;38;;240;Ueckermünde, Stadt;171,92; 11 655; 5 719; 5 936;68
60;;13;0;38;;250;Vogelsang;24,55;528;266;262;22
60;;13;0;38;;260;Wietstock;10,84;208;106;102;19
60;;13;0;38;;270;Wilhelmsburg;47,04; 1 220;613;607;26
40;;13;0;39;;;Waren;;;;;
60;;13;0;39;;10;Adamshoffnung;9,47;159;78;81;17
60;;13;0;39;;20;Alt Rehse;9,11;289;147;142;32
60;;13;0;39;;30;Alt Schönau;8,89;202;102;100;23
60;;13;0;39;;40;Alt Schwerin;44,56;520;249;271;12
60;;13;0;39;;50;Ankershagen;28,18;902;450;452;32
60;;13;0;39;;70;Grabowhöfe;31,09; 1 102;559;543;35
60;;13;0;39;;80;Groß Dratow;25,77;385;184;201;15
60;;13;0;39;;90;Groß Flotow;14,52;224;114;110;15
60;;13;0;39;;100;Groß Gievitz;19,88;422;208;214;21
60;;13;0;39;;110;Groß Plasten;17,46;788;374;414;45
60;;13;0;39;;130;Groß Vielen;13,29;354;167;187;27
60;;13;0;39;;140;Hinrichshagen;14,9;194;97;97;13
60;;13;0;39;;150;Hohen Wangelin;43,83; 1 076;542;534;25
60;;13;0;39;;160;Jabel;66,69;491;238;253;7
60;;13;0;39;;170;Kargow;69;753;374;379;11
60;;13;0;39;;180;Klein Lukow;14,13;281;152;129;20
60;;13;0;39;;200;Klink;25,42; 1 074;523;551;42
60;;13;0;39;;210;Klocksin;23,9;464;225;239;19
60;;13;0;39;;220;Kraase;7,62;186;85;101;24
60;;13;0;39;;230;Krukow;7,12;130;72;58;18
60;;13;0;39;;240;Lansen;10,92;224;102;122;21
60;;13;0;39;;250;Lapitz;6,41;139;75;64;22
60;;13;0;39;;260;Lehsten;18,01;450;216;234;25
60;;13;0;39;;270;Lupendorf;13,91;303;155;148;22
60;;13;0;39;;280;Malchow, Stadt;44,58; 8 166; 3 871; 4 295;183
60;;13;0;39;;290;Mallin;10,67;326;159;167;31
60;;13;0;39;;300;Marihn;7,86;278;142;136;35
60;;13;0;39;;310;Möllenhagen;16,01; 1 441;743;698;90
60;;13;0;39;;320;Mollenstorf;11,1;266;124;142;24
60;;13;0;39;;330;Moltzow;18,07;471;236;235;26
60;;13;0;39;;340;Neu Gaarz;13,33;152;79;73;11
60;;13;0;39;;350;Nossentiner Hütte;40,11;614;296;318;15
60;;13;0;39;;360;Penzlin, Stadt;34,82; 2 934; 1 399; 1 535;84
60;;13;0;39;;370;Puchow;5,65;148;70;78;26
60;;13;0;39;;400;Schloen;10,34;308;161;147;30
60;;13;0;39;;410;Silz;10,67;337;166;171;32
60;;13;0;39;;420;Torgelow;14,28;331;157;174;23
60;;13;0;39;;430;Varchentin;17,31;380;196;184;22
60;;13;0;39;;440;Vielist;11,94;394;206;188;33
60;;13;0;39;;450;Vollrathsruhe;31,25;575;287;288;18
60;;13;0;39;;460;Waren/ Müritz, Stadt;158,43; 24 102; 11 549; 12 553;152
60;;13;0;39;;470;Wendorf;8,17;171;83;88;21
40;;13;0;40;;;Wismar;;;;;
60;;13;0;40;;10;Babst;18,89;469;233;236;25
60;;13;0;40;;20;Bad Kleinen;23,43; 3 573; 1 769; 1 804;152
60;;13;0;40;;30;Barnekow;15,55;443;216;227;28
60;;13;0;40;;40;Beidendorf;20,31;628;315;313;31
60;;13;0;40;;50;Benz;22,58;803;353;450;36
60;;13;0;40;;60;Blowatz;30,21; 1 040;523;517;34
60;;13;0;40;;70;Bobitz;22,89; 1 435;722;713;63
60;;13;0;40;;80;Boiensdorf;12,68;504;254;250;40
60;;13;0;40;;90;Gägelow;23,89; 1 563;785;778;65
60;;13;0;40;;100;Glasin;20,43;495;241;254;24
60;;13;0;40;;110;Gramkow;23,26;914;457;457;39
60;;13;0;40;;120;Groß Krankow;22,24;655;313;342;29
60;;13;0;40;;130;Hagebök;20,28;659;336;323;32
60;;13;0;40;;140;Hohen Viecheln;18,96;628;321;307;33
60;;13;0;40;;150;Hornstorf;14,88;747;366;381;50
60;;13;0;40;;160;Insel Poel;35,93; 2 810; 1 357; 1 453;78
60;;13;0;40;;170;Krassow;8,95;399;201;198;45
60;;13;0;40;;180;Krusenhagen;11,21;437;231;206;39
60;;13;0;40;;190;Lübberstorf;12,99;329;158;171;25
60;;13;0;40;;200;Lübow;19,36;968;461;507;50
60;;13;0;40;;210;Dorf Mecklenburg;30,01; 2 690; 1 348; 1 342;90
60;;13;0;40;;230;Neuburg-Steinhausen;8,76; 1 609;812;797;184
60;;13;0;40;;240;Neukloster, Stadt;23,61; 4 743; 2 327; 2 416;201
60;;13;0;40;;250;Passee;27,48;255;128;127;9
60;;13;0;40;;260;Schimm;16,14;287;143;144;18
60;;13;0;40;;270;Zierow;15,88;462;226;236;29
60;;13;0;40;;280;Züsow;10,09;441;227;214;44
60;;13;0;40;;290;Zurow;19,38;908;461;447;47
60;;13;0;40;;300;Groß Stieten;31,72; 1 163;565;598;37
60;;13;0;40;;310;Metelsdorf;6,5;342;172;170;53
40;;13;0;41;;;Wolgast;;;;;
60;;13;0;41;;10;Ahlbeck, Seebad;8,4; 4 831; 2 256; 2 575;575
60;;13;0;41;;20;Bansin, Seebad;13,35; 2 807; 1 338; 1 469;210
60;;13;0;41;;30;Benz;15,06;601;302;299;40
60;;13;0;41;;40;Buddenhagen;11,79;403;179;224;34
60;;13;0;41;;50;Buggenhagen;27,04;301;153;148;11
60;;13;0;41;;60;Dargen;28,21;539;277;262;19
60;;13;0;41;;80;Groß Ernsthof;8,84;342;171;171;39
60;;13;0;41;;90;Heringsdorf, Seebad;15,3; 3 823; 1 814; 2 009;250
60;;13;0;41;;100;Hohendorf;30,52;875;437;438;29
60;;13;0;41;;120;Kamminke;2,93;357;170;187;122
60;;13;0;41;;130;Karlshagen;4,39; 3 778; 1 932; 1 846;861
60;;13;0;41;;140;Korswandt;12,81;477;229;248;37
60;;13;0;41;;150;Koserow;5,97; 1 667;796;871;279
60;;13;0;41;;170;Kröslin;22,16; 1 790;884;906;81
60;;13;0;41;;180;Krummin;10,68;224;107;117;21
60;;13;0;41;;190;Lassan, Stadt;12,6; 1 859;935;924;148
60;;13;0;41;;210;Loddin;5,92; 1 030;501;529;174
60;;13;0;41;;220;Lütow;16,3;358;175;183;22
60;;13;0;41;;230;Mellenthin;9,74;216;105;111;22
60;;13;0;41;;240;Mölschow;15,09;676;331;345;45
60;;13;0;41;;250;Morgenitz;9,51;234;121;113;25
60;;13;0;41;;260;Neppermin;9,3;366;182;184;39
60;;13;0;41;;270;Peenemünde;24,99;745;396;349;30
60;;13;0;41;;280;Pudagla;13,26;443;227;216;33
60;;13;0;41;;290;Pulow;15,38;299;153;146;19
60;;13;0;41;;300;Rankwitz;30,71;696;343;353;23
60;;13;0;41;;320;Sauzin;6,61;289;150;139;44
60;;13;0;41;;330;Stolpe;14,85;381;183;198;26
60;;13;0;41;;340;Trassenheide;6,49;710;364;346;109
60;;13;0;41;;350;Ückeritz;13,8;982;471;511;71
60;;13;0;41;;360;Usedom, Stadt;38,58; 2 272; 1 120; 1 152;59
60;;13;0;41;;400;Wolgast, Stadt;19,19; 17 013; 8 282; 8 731;887
60;;13;0;41;;410;Zemitz;30,97;935;487;448;30
60;;13;0;41;;420;Zempin;3,08;890;426;464;289
60;;13;0;41;;430;Zinnowitz, Ostseebad;9,03; 4 371; 2 066; 2 305;484
60;;13;0;41;;440;Zirchow;19,46;683;335;348;35
10;;14;;;;;Sachsen;;;;;
40;;14;0;1;;;Chemnitz, Stadt;;;;;
60;;14;0;1;;0;Chemnitz, Stadt;129,7; 294 244; 137 552; 156 692;2 269
40;;14;0;2;;;Dresden, Stadt;;;;;
60;;14;0;2;;0;Dresden, Stadt;225,75; 490 571; 228 981; 261 590;2 173
40;;14;0;3;;;Görlitz, Stadt;;;;;
60;;14;0;3;;0;Görlitz, Stadt;25,85; 72 237; 33 437; 38 800;2 794
40;;14;0;4;;;Leipzig, Stadt;;;;;
60;;14;0;4;;0;Leipzig, Stadt;146,41; 511 079; 236 923; 274 156;3 491
40;;14;0;5;;;Plauen, Stadt;;;;;
60;;14;0;5;;0;Plauen, Stadt;58,29; 71 774; 32 897; 38 877;1 231
40;;14;0;6;;;Zwickau, Stadt;;;;;
60;;14;0;6;;0;Zwickau, Stadt;56,97; 114 632; 53 972; 60 660;2 012
40;;14;0;11;;;Annaberg;;;;;
60;;14;0;11;;10;Annaberg-Buchholz, Stadt;12,68; 25 010; 11 738; 13 272;1 972
60;;14;0;11;;20;Arnsfeld;11,9; 1 440;693;747;121
60;;14;0;11;;30;Bärenstein;4,23; 2 987; 1 375; 1 612;706
60;;14;0;11;;40;Cranzahl;7,24; 2 376; 1 114; 1 262;328
60;;14;0;11;;50;Crottendorf;29,43; 4 649; 2 188; 2 461;158
60;;14;0;11;;60;Cunersdorf;3,44; 1 073;514;559;312
60;;14;0;11;;70;Dörfel;5,27;400;196;204;76
60;;14;0;11;;80;Elterlein, Stadt;26,23; 2 186; 1 044; 1 142;83
60;;14;0;11;;90;Frohnau;5,05; 1 262;532;730;250
60;;14;0;11;;100;Geyer, Stadt;18,76; 4 593; 2 135; 2 458;245
60;;14;0;11;;110;Geyersdorf;4,94; 1 004;483;521;203
60;;14;0;11;;120;Grumbach;7,4;957;487;470;129
60;;14;0;11;;130;Hammerunterwiesenthal;2,95;655;318;337;222
60;;14;0;11;;140;Hermannsdorf;12,43;921;464;457;74
60;;14;0;11;;150;Jöhstadt, Stadt;14,28; 1 595;754;841;112
60;;14;0;11;;160;Königswalde;19,54; 2 335; 1 108; 1 227;119
60;;14;0;11;;170;Mildenau;19,78; 2 550; 1 242; 1 308;129
60;;14;0;11;;180;Neudorf;29; 2 884; 1 366; 1 518;99
60;;14;0;11;;190;Neundorf;6,4;843;391;452;132
60;;14;0;11;;200;Oberscheibe;3,52;332;168;164;94
60;;14;0;11;;210;Oberwiesenthal, Kurort, Stadt;37,78; 3 897; 1 861; 2 036;103
60;;14;0;11;;220;Scheibenberg, Stadt;5,49; 2 135; 1 035; 1 100;389
60;;14;0;11;;230;Schlettau, Stadt;15,9; 2 576; 1 209; 1 367;162
60;;14;0;11;;240;Schmalzgrube;0,97;237;108;129;244
60;;14;0;11;;250;Schönfeld;6,68;811;396;415;121
60;;14;0;11;;260;Schwarzbach;7,26;542;268;274;75
60;;14;0;11;;270;Sehma;8,67; 3 001; 1 390; 1 611;346
60;;14;0;11;;280;Steinbach;27,03; 1 022;490;532;38
60;;14;0;11;;290;Tannenberg;7,89; 1 269;605;664;161
60;;14;0;11;;300;Walthersdorf;7,02;803;395;408;114
60;;14;0;11;;310;Wiesa;9,97; 1 547;726;821;155
60;;14;0;11;;320;Wiesenbad, Thermalbad;3,16; 1 015;470;545;321
40;;14;0;12;;;Aue;;;;;
60;;14;0;12;;10;Affalter;11,08; 1 480;707;773;134
60;;14;0;12;;20;Albernau;2,59; 1 247;587;660;481
60;;14;0;12;;30;Aue, Stadt;21,27; 24 447; 11 442; 13 005;1 149
60;;14;0;12;;40;Bernsbach;8,75; 4 220; 2 018; 2 202;482
60;;14;0;12;;50;Blauenthal;3,6;306;149;157;85
60;;14;0;12;;60;Bockau;19,2; 3 112; 1 469; 1 643;162
60;;14;0;12;;70;Burkhardtsgrün;3,05;349;174;175;114
60;;14;0;12;;80;Carlsfeld;24,18; 1 106;530;576;46
60;;14;0;12;;100;Eibenstock, Stadt;40,77; 6 277; 2 934; 3 343;154
60;;14;0;12;;120;Hundshübel;11,64; 1 306;636;670;112
60;;14;0;12;;130;Lauter/ Sa., Stadt;21,54; 5 589; 2 615; 2 974;259
60;;14;0;12;;140;Lichtenau;6,25;434;210;224;69
60;;14;0;12;;150;Lindenau;5,14;667;323;344;130
60;;14;0;12;;160;Lößnitz, Stadt;19,48; 10 790; 4 975; 5 815;554
60;;14;0;12;;170;Schlema;8,92; 5 431; 2 555; 2 876;609
60;;14;0;12;;180;Schneeberg, Stadt;19,12; 20 303; 9 558; 10 745;1 062
60;;14;0;12;;190;Schönheide;28,11; 6 301; 3 018; 3 283;224
60;;14;0;12;;200;Sosa;21,99; 2 438; 1 177; 1 261;111
60;;14;0;12;;210;Stützengrün;10,5; 2 451; 1 178; 1 273;233
60;;14;0;12;;220;Wildbach;5,68;590;284;306;104
60;;14;0;12;;230;Wildenthal;24,39;322;159;163;13
60;;14;0;12;;240;Zschorlau;16,4; 4 098; 1 913; 2 185;250
60;;14;0;12;;250;Zwönitz, Stadt;34,28; 10 084; 4 839; 5 245;294
40;;14;0;13;;;Auerbach;;;;;
60;;14;0;13;;20;Altmannsgrün;5,51;299;146;153;54
60;;14;0;13;;30;Auerbach/ Vogtl., Stadt;14,6; 20 833; 9 442; 11 391;1 427
60;;14;0;13;;40;Beerheide;19,29;731;333;398;38
60;;14;0;13;;50;Bergen;8,3; 1 182;549;633;142
60;;14;0;13;;60;Eich/ Sa.;7,47;590;297;293;79
60;;14;0;13;;70;Ellefeld;4,55; 3 416; 1 518; 1 898;751
60;;14;0;13;;80;Falkenstein/ Vogtl., Stadt;16,96; 9 931; 4 487; 5 444;586
60;;14;0;13;;90;Grünbach, Höhenluftkurort;11,92; 1 741;777;964;146
