Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;1;0;53;;128;Wangelau;6,52;224;104;120;34
60;;1;0;53;;129;Wentorf bei Hamburg;6,87; 8 633; 4 143; 4 490;1 257
60;;1;0;53;;130;Wentorf (Amt Sandesneben);4,99;500;244;256;100
60;;1;0;53;;131;Wiershop;5,15;145;75;70;28
60;;1;0;53;;132;Witzeeze;10,46;747;367;380;71
60;;1;0;53;;133;Wohltorf;5,97; 2 370; 1 108; 1 262;397
60;;1;0;53;;134;Woltersdorf;7,9;249;132;117;32
60;;1;0;53;;135;Worth;6,07;186;85;101;31
60;;1;0;53;;136;Ziethen;11,16;776;370;406;70
40;;1;0;54;;;Nordfriesland;;;;;
60;;1;0;54;;1;Achtrup;29,83; 1 324;667;657;44
60;;1;0;54;;2;Ahrenshöft;8,65;420;215;205;49
60;;1;0;54;;3;Ahrenviöl;10,11;455;227;228;45
60;;1;0;54;;4;Ahrenviölfeld;7,29;226;110;116;31
60;;1;0;54;;5;Alkersum;9,07;378;184;194;42
60;;1;0;54;;6;Almdorf;5,7;436;224;212;76
60;;1;0;54;;7;Arlewatt;5,68;284;148;136;50
60;;1;0;54;;8;Augustenkoog;8,4;50;25;25;6
60;;1;0;54;;9;Aventoft;14,47;537;268;269;37
60;;1;0;54;;10;Bargum;17,29;600;305;295;35
60;;1;0;54;;72;Kotzenbüll;7,76;221;112;109;28
60;;1;0;54;;73;Ladelund;24,09; 1 149;603;546;48
60;;1;0;54;;74;Langeneß;11,57;142;76;66;12
60;;1;0;54;;75;Langenhorn;47,4; 2 715; 1 372; 1 343;57
60;;1;0;54;;76;Leck;29,74; 7 091; 3 407; 3 684;238
60;;1;0;54;;77;Lexgaard;5,24;69;38;31;13
60;;1;0;54;;78;List;19,21; 2 376; 1 480;896;124
60;;1;0;54;;79;Löwenstedt;19,62;618;317;301;31
60;;1;0;54;;80;Lütjenholm;10,71;276;140;136;26
60;;1;0;54;;83;Midlum;8,5;332;155;177;39
60;;1;0;54;;84;Mildstedt;8,71; 2 555; 1 283; 1 272;293
60;;1;0;54;;85;Nebel;11,96;949;444;505;79
60;;1;0;54;;86;Neukirchen;31,58; 1 189;618;571;38
60;;1;0;54;;87;Nieblum;7,86;689;311;378;88
60;;1;0;54;;88;Niebüll, Stadt;30,6; 6 809; 3 185; 3 624;223
60;;1;0;54;;89;Norddorf;5,9;558;252;306;95
60;;1;0;54;;90;Norderfriedrichskoog;5,31;52;28;24;10
60;;1;0;54;;91;Nordstrand;45,25; 2 416; 1 202; 1 214;53
60;;1;0;54;;92;Norstedt;13,47;407;212;195;30
60;;1;0;54;;93;Ockholm;18,06;395;204;191;22
60;;1;0;54;;94;Oevenum;10,88;449;223;226;41
60;;1;0;54;;95;Oldenswort;45,83; 1 265;636;629;28
60;;1;0;54;;96;Oldersbek;10,82;485;239;246;45
60;;1;0;54;;97;Olderup;9,95;356;187;169;36
60;;1;0;54;;98;Oldsum;13,3;480;223;257;36
60;;1;0;54;;99;Ostenfeld (Husum);27,67; 1 249;622;627;45
60;;1;0;54;;100;Osterhever;10,03;242;125;117;24
60;;1;0;54;;101;Oster-Ohrstedt;11,29;580;302;278;51
60;;1;0;54;;103;Pellworm;37,4; 1 112;526;586;30
60;;1;0;54;;104;Poppenbüll;15,5;239;134;105;15
60;;1;0;54;;105;Ramstedt;5,42;334;165;169;62
60;;1;0;54;;106;Rantrum;13,73; 1 289;638;651;94
60;;1;0;54;;107;Rantum (Sylt);9,37;473;199;274;50
60;;1;0;54;;108;Reußenköge;36,55;364;187;177;10
60;;1;0;54;;109;Risum-Lindholm;36,06; 3 160; 1 591; 1 569;88
60;;1;0;54;;110;Rodenäs;19,84;439;219;220;22
60;;1;0;54;;113;Sankt Peter-Ording;28,25; 3 857; 1 799; 2 058;137
60;;1;0;54;;115;Schobüll;7,6; 1 673;808;865;220
60;;1;0;54;;116;Schwabstedt;19,65; 1 208;609;599;61
60;;1;0;54;;118;Schwesing;15,63;735;379;356;47
60;;1;0;54;;119;Seeth;13,57;689;435;254;51
60;;1;0;54;;120;Simonsberg;17,09;780;384;396;46
60;;1;0;54;;121;Sönnebüll;4,12;179;89;90;43
60;;1;0;54;;123;Sollwitt;10,95;305;162;143;28
60;;1;0;54;;124;Sprakebüll;11,37;214;103;111;19
60;;1;0;54;;125;Stadum;19,85; 1 054;623;431;53
60;;1;0;54;;126;Stedesand;15,19;766;407;359;50
60;;1;0;54;;128;Struckum;8,92;828;405;423;93
60;;1;0;54;;129;Süderende;2,59;157;83;74;61
60;;1;0;54;;130;Süderhöft;2,6;21;10;11;8
60;;1;0;54;;131;Süderlügum;26,59; 1 834;892;942;69
60;;1;0;54;;132;Südermarsch;30,76;129;70;59;4
60;;1;0;54;;133;Sylt-Ost;37,97; 5 189; 2 571; 2 618;137
60;;1;0;54;;134;Tating;29,53;981;471;510;33
60;;1;0;54;;135;Tetenbüll;36,48;694;337;357;19
